Node	PosxNode	PosyNode	Name	Lines
2987	450220,9	4480548	TIMON-ALCAÑIZ	105/1
2988	450212,6	4480527	ALCAÑIZ-TIMON	105/2
2990	449751,6	4480560	CICLON-ALISIOS	105/1
2991	449519	4480676	MISTRAL-GTA.DE LOS VIENTOS	105/1 105/2
2992	449719	4480510	HURACAN-ALISIOS	105/2
2994	442287,4	4483838	ESTACION CERCANIAS DE FUENCARRAL	455/1 455/2
2996	445886	4475305	FERNANDO GABRIEL-ARRIAGA	109/2
2997	445902	4475288	FERNANDO GABRIEL-ARRIAGA	109/1
2999	445757,3	4475385	EZEQUIEL SOLANA-ARRIAGA	109/2
3000	445744,4	4475378	EZEQUIEL SOLANA-ARRIAGA	109/1
3001	445650	4475572	EZEQUIEL SOLANA-GONZALO DE BERCEO	109/2
3002	445609,3	4475606	EZEQUIEL SOLANA-GONZALO DE BERCEO	109/1
3003	445525	4475781	EZEQUIEL SOLANA-FCO.VILLAESPESA	109/2
3004	445510,1	4475773	EZEQUIEL SOLANA-FCO.VILLAESPESA	109/1
3005	445661	4476148	EMILIO FERRARI-VITAL AZA	109/2
3006	446373	4476244	JULIAN CAMARILLO-HNOS.Gª NOBLEJAS	105/1
3007	446337,7	4476244	JULIAN CAMARILLO-HNOS.Gª NOBLEJAS	105/2
3008	446535,5	4476321	JULIAN CAMARILLO-ALBARRACIN	105/1
3009	446591,5	4476349	JULIAN CAMARILLO-ALBARRACIN	105/2
3010	446763	4476370	JULIAN CAMARILLO-SANTA LEONOR	105/1
3011	446755	4476386	JULIAN CAMARILLO-SANTA LEONOR	105/2
3012	447216,6	4476556	JULIAN CAMARILLO-MIGUEL YUSTE	105/1
3013	447214,5	4476569	JULIAN CAMARILLO-MIGUEL YUSTE	105/2
3015	447332	4476358	MIGUEL YUSTE-CRONOS	505/2
3016	447660,8	4476282	AV.ARCENTALES-SAN ROMUALDO	153/2 505/1
3017	447633	4476312	AV.ARCENTALES-SAN ROMUALDO	153/1 505/2
3018	448048	4476322	AV.ARCENTALES-AV.CANILLEJAS	153/2 505/1
3019	448073,9	4476361	AV.ARCENTALES-AV.CANILLEJAS	153/1 505/2
3020	446288,3	4481625	SAN ANDRES DE RABANEDO-HNOS.GASCON	87/2
3021	448248	4476062	AV.CANILLEJAS A VICALVARO-HINOJAL	48/1
3022	446356	4481459	SAN ANDRES DE RABANEDO-Cº CENAGALES	87/2
3023	448279	4475880	AV.CANILLEJAS A VICALVARO-J.Gª BOUTAN	48/1
3026	446094	4472637	FTE.CARRANTONA-HACIENDA DE PAVONES	142/1 144/1
3027	446197	4472612	INTERCAMBIADOR PAVONES	30/1 30/2
3028	450338,5	4478785	CORBETA-AV.CANTABRIA	112/2 115/1 151/1
3029	446209	4472590	INTERCAMBIADOR PAVONES	140/1 140/2
3030	446204	4472574	INTERCAMBIADOR PAVONES	142/1 142/2
